timestamp,open,high,low,close,volume
2018-01-01,14112.20019531,14112.20019531,13154.70019531,13657.20019531,10291200000
2018-01-02,13625.00000000,15444.59960938,13163.59960938,14982.09960938,16846600192
2018-01-03,14978.20019531,15572.79980469,14844.50000000,15201.00000000,16871900160
2018-01-04,15270.70019531,15739.70019531,14522.20019531,15599.20019531,21783199744
2018-01-05,15477.20019531,17705.19921875,15202.79980469,17429.50000000,23840899072
2018-01-06,17462.09960938,17712.40039062,16764.59960938,17527.00000000,18314600448
2018-01-07,17527.30078125,17579.59960938,16087.70019531,16477.59960938,15866000384
2018-01-08,16476.19921875,16537.90039062,14208.20019531,15170.09960938,18413899776
2018-01-09,15123.70019531,15497.50000000,14424.00000000,14595.40039062,16659999744
2018-01-10,14588.50000000,14973.29980469,13691.20019531,14973.29980469,18500800512
2018-01-11,14968.20019531,15018.79980469,13105.90039062,13405.79980469,16534099968
2018-01-12,13453.90039062,14229.90039062,13158.09960938,13980.59960938,12065699840
2018-01-13,13952.40039062,14659.50000000,13952.40039062,14360.20019531,12763599872
2018-01-14,14370.79980469,14511.79980469,13268.00000000,13772.00000000,11084099584
2018-01-15,13767.29980469,14445.50000000,13641.70019531,13819.79980469,12750799872
2018-01-16,13836.09960938,13843.09960938,10194.90039062,11490.50000000,18853799936
2018-01-17,11431.09960938,11678.00000000,9402.29003906,11188.59960938,18830600192
2018-01-18,11198.79980469,12107.29980469,10942.50000000,11474.90039062,15020399616
2018-01-19,11429.79980469,11992.79980469,11172.09960938,11607.40039062,10740400128
2018-01-20,11656.20019531,13103.00000000,11656.20019531,12899.20019531,11801700352
2018-01-21,12889.20019531,12895.90039062,11288.20019531,11600.09960938,9935179776
2018-01-22,11633.09960938,11966.40039062,10240.20019531,10931.40039062,10537400320
2018-01-23,10944.50000000,11377.59960938,10129.70019531,10868.40039062,9660609536
2018-01-24,10903.40039062,11501.40039062,10639.79980469,11359.40039062,9940989952
2018-01-25,11421.70019531,11785.70019531,11057.40039062,11259.40039062,8873169920
2018-01-26,11256.00000000,11656.70019531,10470.29980469,11171.40039062,9746199552
2018-01-27,11174.90039062,11614.90039062,10989.20019531,11440.70019531,7583269888
2018-01-28,11475.29980469,12040.29980469,11475.29980469,11786.29980469,8350360064
2018-01-29,11755.50000000,11875.59960938,11179.20019531,11296.40039062,7107359744
2018-01-30,11306.79980469,11307.20019531,10036.20019531,10106.29980469,8637859840
2018-01-31,10108.20019531,10381.59960938,9777.41992188,10221.09960938,8041160192
2018-02-01,10237.29980469,10288.79980469,8812.28027344,9170.54003906,9959400448
2018-02-02,9142.28027344,9142.28027344,7796.49023438,8830.75000000,12726899712
2018-02-03,8852.12011719,9430.75000000,8251.62988281,9174.91015625,7263790080
2018-02-04,9175.70019531,9334.87011719,8031.22021484,8277.00976562,7073549824
2018-02-05,8270.54003906,8364.83984375,6756.68017578,6955.27001953,9285289984
2018-02-06,7051.75000000,7850.70019531,6048.25976562,7754.00000000,13999800320
2018-02-07,7755.49023438,8509.11035156,7236.79003906,7621.29980469,9169280000
2018-02-08,7637.85986328,8558.76953125,7637.85986328,8265.58984375,9346750464
2018-02-09,8271.83984375,8736.98046875,7884.70996094,8736.98046875,6784820224
2018-02-10,8720.08007812,9122.54980469,8295.46972656,8621.90039062,7780960256
2018-02-11,8616.12988281,8616.12988281,7931.10009766,8129.97021484,6122189824
2018-02-12,8141.43017578,8985.91992188,8141.43017578,8926.57031250,6256439808
2018-02-13,8926.71972656,8958.46972656,8455.41015625,8598.30957031,5696719872
2018-02-14,8599.91992188,9518.54003906,8599.91992188,9494.62988281,7909819904
2018-02-15,9488.32031250,10234.79980469,9395.58007812,10166.40039062,9062540288
2018-02-16,10135.70019531,10324.09960938,9824.82031250,10233.90039062,7296159744
2018-02-17,10207.50000000,11139.50000000,10149.40039062,11112.70019531,8660880384
2018-02-18,11123.40039062,11349.79980469,10326.00000000,10551.79980469,8744009728
2018-02-19,10552.59960938,11273.79980469,10513.20019531,11225.29980469,7652089856
2018-02-20,11231.79980469,11958.50000000,11231.79980469,11403.70019531,9926540288
2018-02-21,11372.20019531,11418.50000000,10479.09960938,10690.40039062,9405339648
2018-02-22,10660.40039062,11039.09960938,9939.08984375,10005.00000000,8040079872
2018-02-23,9937.07031250,10487.29980469,9734.55957031,10301.09960938,7739500032
2018-02-24,10287.70019531,10597.20019531,9546.96972656,9813.07031250,6917929984
2018-02-25,9796.41992188,9923.21972656,9407.05957031,9664.73046875,5706939904
2018-02-26,9669.42968750,10475.00000000,9501.73046875,10366.70019531,7287690240
2018-02-27,10393.90039062,10878.50000000,10246.09960938,10725.59960938,6966179840
2018-02-28,10687.20019531,11089.79980469,10393.09960938,10397.90039062,6936189952
2018-03-01,10385.00000000,11052.29980469,10352.70019531,10951.00000000,7317279744
2018-03-02,10977.40039062,11189.00000000,10850.09960938,11086.40039062,7620590080
2018-03-03,11101.90039062,11528.20019531,11002.40039062,11489.70019531,6690570240
2018-03-04,11497.40039062,11512.59960938,11136.09960938,11512.59960938,6084149760
2018-03-05,11532.40039062,11704.09960938,11443.90039062,11573.29980469,6468539904
2018-03-06,11500.09960938,11500.09960938,10694.29980469,10779.90039062,6832169984
2018-03-07,10803.90039062,10929.50000000,9692.12011719,9965.57031250,8797910016
2018-03-08,9951.44042969,10147.40039062,9335.87011719,9395.00976562,7186089984
2018-03-09,9414.69042969,9466.34960938,8513.03027344,9337.54980469,8704190464
2018-03-10,9350.58984375,9531.32031250,8828.46972656,8866.00000000,5386319872
2018-03-11,8852.78027344,9711.88964844,8607.12011719,9578.62988281,6296370176
2018-03-12,9602.92968750,9937.50000000,8956.42968750,9205.12011719,6457399808
2018-03-13,9173.04003906,9470.37988281,8958.19042969,9194.84960938,5991139840
2018-03-14,9214.65039062,9355.84960938,8068.58984375,8269.80957031,6438230016
2018-03-15,8290.75976562,8428.34960938,7783.04980469,8300.86035156,6834429952
